80,"usia 21 tahun:

sulit jatuh cinta dan kalo udah memutuskan untuk menjalani suatu hubungan pun udah ga butuh hubungan yang 'haha hihi' doang. harus punya tujuan. sekali pun yang ga 'berminat' nikah muda, umur segitu mikirnya hubungan udah bukan bercandaan. sudah muak, singkatnya."
81,"menurut kalian gmn... aku pny pacar hamir 1 th tp dia umurnya lebih muda dan masih kuliah hidup dia masih panjang bgt,sdangk… — umurnya berapa emang sekarang? ya kalo ada yang lebih baik kenapa engga, nungguin pacarnya juga belum tentu jadi nikah nanti… https://t.co/gmczcbzrjg"
82,"hikmah dari kejadian ini adalah agar kita pelajari tata cara menghilangkan najis mugholadhoh, bukan cuma belajar tentang nikah muda dan jihad saja. https://t.co/clnav8fuzd"
83,pernah gak berpikiran nikah muda? — pernah https://t.co/6zgrwhnqh3
84,lagi jamannya nikah muda ya??????
85,"berharap nikah muda, kuliah aja masi berantakan vin vin :')"
86,@naufalan_ ngebet nikah muda apa gimana si?
87,"pembicaraan sore ini bersama anak kader pks
anak walikota padang (sebelah kiri)
ketua garuda keadilan jambi = organisasi putra-putri kader pks (sebelah kanan)
tema : nikah muda 😘 https://t.co/bkimjjadax"
88,"pernah ga si kalian malem malem begini kepikiran kalo usia kalian ga lagi muda.18 tahun,lulus kuliah (kalau)tepat waktu 22.abis itu kerja,eh tau tau nikah😧"
89,"jangan nikah dulu, nikmati masa muda.

lah emang kalo udah nikah masa muda jadi ga nikmat gitu ?"
90,ternyata gasalah. aku cuma sedang hidup di mana tren nikah muda terjadi https://t.co/ph6abafprg
91,"@_dinimr gua kepikiran nikah muda ,"
92,"ku jawab aja “hahah itu juga minggu malem nya kak, sabtu ku dirumah aja kok☺️”. pdhl mah dalem hati “so what bitch!? ngiri? dulu ga pernah laluin masa muda kayak gini ya? ngeliat gue gini jd pgn juga? nyesel ya nikah muda?” haha jahat emg"
93,@fanbasebokepp yakin ??? temen gue nikah muda kemaren curhat juga bosen katanya
94,@_muhamin_ sayang min cewe gw ga mau nikah muda
95,heran pikirannya nikah mulu dikata nikah gampang sedangkal itu nikah bukan hanya tentang ibadah tapi banyak hal yg harus dipikirin apalagi kalo udh jadi orang tua itu tanggung jawab selamanya- bukan pro nikah muda
